"Leaf_ID";"IDVar";"Water_treatment"
"6185_2022-06-03_HD";"V2597";"WD1"
"6180_2022-06-03_HD";"V2597";"WD2"
"5413_2022-06-03_HD";"V2713";"WW"
"5416_2022-06-03_HD";"V2713";"WD1"
"5419_2022-06-03_HD";"V2713";"WD2"
"5620_2022-06-03_HD";"V728";"WW"
"5621_2022-06-03_HD";"V728";"WD1"
"5627_2022-06-03_HD";"V728";"WD2"
"4990_2022-06-03_HD";"V3061";"WW"
"4997_2022-06-03_HD";"V3061";"WD1"
"4998_2022-06-03_HD";"V3061";"WD2"
"4198_2022-06-03_HD";"V329";"WW"
"4197_2022-06-03_HD";"V329";"WD1"
"4192_2022-06-03_HD";"V329";"WD2"
"5183_2022-06-03_HD";"V2944";"WW"
"5180_2022-06-03_HD";"V2944";"WD1"
"5182_2022-06-03_HD";"V2944";"WD2"
"4445_2022-06-03_HD";"V261";"WW"
"4448_2022-06-03_HD";"V261";"WD1"
"4449_2022-06-03_HD";"V261";"WD2"
"6634_2022-06-27_HD";"V3464";"WW"
"6635_2022-06-27_HD";"V3464";"WD1"
"6631_2022-06-27_HD";"V3464";"WD2"
"6075_2022-06-03_HD";"V2318";"WW"
"6078_2022-06-03_HD";"V2318";"WD1"
"6072_2022-06-03_HD";"V2318";"WD2"
"5326_2022-06-03_HD";"V1578";"WW"
"5321_2022-06-03_HD";"V1578";"WD1"
"5324_2022-06-03_HD";"V1578";"WD2"
"5926_2022-06-03_HD";"V1667";"WW"
"5923_2022-06-03_HD";"V1667";"WD1"
"5920_2022-06-03_HD";"V1667";"WD2"
"7749_2022-06-27_HD";"V6858";"WW"
"7754_2022-06-27_HD";"V6858";"WD1"
"7742_2022-06-27_HD";"V6858";"WD2"
"4523_2022-06-03_HD";"V1314";"WW"
"4528_2022-06-03_HD";"V1314";"WD1"
"4522_2022-06-03_HD";"V1314";"WD2"
"4730_2022-06-03_HD";"V2104";"WW"
"4739_2022-06-03_HD";"V2104";"WD1"
"4737_2022-06-03_HD";"V2104";"WD2"
"5452_2022-06-03_HD";"V3160";"WW"
"5456_2022-06-03_HD";"V3160";"WD1"
"5458_2022-06-03_HD";"V3160";"WD2"
"4855_2022-06-02_HD";"V2418";"WW"
"4856_2022-06-02_HD";"V2418";"WD1"
"4853_2022-06-02_HD";"V2418";"WD2"
"6333_2022-06-02_HD";"V2874";"WW"
"6335_2022-06-02_HD";"V2874";"WD1"
"6337_2022-06-02_HD";"V2874";"WD2"
"6118_2022-06-02_HD";"V2460";"WW"
"6112_2022-06-02_HD";"V2460";"WD1"
"6115_2022-06-02_HD";"V2460";"WD2"
"5682_2022-06-02_HD";"V791";"WW"
"5686_2022-06-02_HD";"V791";"WD1"
"5689_2022-06-02_HD";"V791";"WD2"
"6029_2022-06-02_HD";"V2174";"WW"
"6023_2022-06-02_HD";"V2174";"WD1"
"6021_2022-06-02_HD";"V2174";"WD2"
"6677_2022-06-27_HD";"V3484";"WW"
"6672_2022-06-27_HD";"V3484";"WD1"
"6673_2022-06-27_HD";"V3484";"WD2"
"4062_2022-06-02_HD";"V43";"WW"
"4064_2022-06-02_HD";"V43";"WD1"
"4061_2022-06-02_HD";"V43";"WD2"
"7768_2022-07-11_HD";"V6863";"WW"
"7775_2022-07-11_HD";"V6863";"WD1"
"7762_2022-07-11_HD";"V6863";"WD2"
"5447_2022-06-27_HD";"V3009";"WW"
"5445_2022-06-27_HD";"V3009";"WD1"
"5442_2022-06-27_HD";"V3009";"WD2"
"6618_2022-07-05_HD";"V3455";"WW"
"6617_2022-07-05_HD";"V3455";"WD1"
"6611_2022-07-05_HD";"V3455";"WD2"
"6476_2022-07-11_HD";"V3262";"WW"
"6474_2022-07-11_HD";"V3262";"WD1"
"6478_2022-07-11_HD";"V3262";"WD2"
"4368_2022-07-05_HD";"V613";"WW"
"4360_2022-07-05_HD";"V613";"WD1"
"4365_2022-07-05_HD";"V613";"WD2"
"5662_2022-06-27_HD";"V749";"WW"
"5665_2022-06-27_HD";"V749";"WD1"
"5666_2022-06-27_HD";"V749";"WD2"
"4124_2022-06-20_HD";"V124";"WW"
"4124_2022-06-27_HD";"V124";"WW"
"4123_2022-06-20_HD";"V124";"WD1"
"4123_2022-06-27_HD";"V124";"WD1"
"4127_2022-06-20_HD";"V124";"WD2"
"4127_2022-06-27_HD";"V124";"WD2"
"7726_2022-07-26_HD";"V6857";"WW"
"7724_2022-07-26_HD";"V6857";"WD1"
"4836_2022-07-05_HD";"V2371";"WW"
"4830_2022-07-05_HD";"V2371";"WD1"
"4835_2022-07-05_HD";"V2371";"WD2"
"5143_2022-07-05_HD";"V1888";"WW"
"5147_2022-07-05_HD";"V1888";"WD1"
"5149_2022-07-05_HD";"V1888";"WD2"
"6259_2022-06-27_HD";"V2665";"WW"
"6251_2022-06-27_HD";"V2665";"WD1"
"6256_2022-06-27_HD";"V2665";"WD2"
"5872_2022-06-27_HD";"V1636";"WW"
"5873_2022-06-27_HD";"V1636";"WD1"
"5878_2022-06-27_HD";"V1636";"WD2"
"5777_2022-06-27_HD";"V1277";"WW"
"5771_2022-06-27_HD";"V1277";"WD1"
"5778_2022-06-27_HD";"V1277";"WD2"
"5404_2022-07-07_HD";"V1972";"WW"
"5403_2022-07-07_HD";"V1972";"WD1"
"5401_2022-07-07_HD";"V1972";"WD2"
"6000_2022-06-27_HD";"V1769";"WW"
"6005_2022-06-27_HD";"V1769";"WD1"
"6003_2022-06-27_HD";"V1769";"WD2"
"4472_2022-07-07_HD";"V577";"WW"
"4473_2022-07-07_HD";"V577";"WD1"
"4477_2022-07-07_HD";"V577";"WD2"
"4949_2022-07-07_HD";"V3181";"WW"
"4949_2022-07-11_HD";"V3181";"WW"
"4943_2022-07-07_HD";"V3181";"WD1"
"4943_2022-07-11_HD";"V3181";"WD1"
"4946_2022-07-07_HD";"V3181";"WD2"
"4946_2022-07-11_HD";"V3181";"WD2"
"4915_2022-07-07_HD";"V3016";"WW"
"4910_2022-07-07_HD";"V3016";"WD1"
"4913_2022-07-07_HD";"V3016";"WD2"
"4650_2022-07-07_HD";"V257";"WW"
"4654_2022-07-07_HD";"V257";"WD1"
"4657_2022-07-07_HD";"V257";"WD2"
"6306_2022-06-20_HD";"V2842";"WW"
"6306_2022-06-27_HD";"V2842";"WW"
"6300_2022-06-20_HD";"V2842";"WD1"
"6300_2022-06-27_HD";"V2842";"WD1"
"6305_2022-06-20_HD";"V2842";"WD2"
"6305_2022-06-27_HD";"V2842";"WD2"
"4897_2022-07-05_HD";"V2902";"WW"
"4893_2022-07-05_HD";"V2902";"WD1"
"4892_2022-07-05_HD";"V2902";"WD2"
"4765_2022-06-24_HD";"V2279";"WW"
"4760_2022-06-24_HD";"V2279";"WD1"
"4766_2022-06-24_HD";"V2279";"WD2"
"6797_2022-07-11_HD";"V3657";"WW"
"6795_2022-07-11_HD";"V3657";"WD1"
"6794_2022-07-11_HD";"V3657";"WD2"
"4932_2022-07-05_HD";"V3176";"WW"
"4935_2022-07-05_HD";"V3176";"WD2"
"6681_2022-06-24_HD";"V3499";"WW"
"6683_2022-06-24_HD";"V3499";"WD1"
"6686_2022-06-24_HD";"V3499";"WD2"
"6839_2022-06-24_HD";"V1628";"WW"
"4579_2022-06-24_HD";"V1628";"WD1"
"4572_2022-06-24_HD";"V1628";"WD2"
"6374_2022-06-24_HD";"V3000";"WW"
"6378_2022-06-24_HD";"V3000";"WD1"
"6372_2022-06-24_HD";"V3000";"WD2"
"5998_2022-06-24_HD";"V1766";"WW"
"5999_2022-06-24_HD";"V1766";"WD1"
"5995_2022-06-24_HD";"V1766";"WD2"
"5432_2022-07-05_HD";"V2972";"WW"
"5436_2022-07-05_HD";"V2972";"WD1"
